sim_ID,lk,row,col,use-it
11,8426,779,247,y
11,8426,777,271,y
11,8426,783,225,y
11,8426,793,253,y
11,8426,780,275,y
11,8426,771,266,y
11,8426,786,246,y
11,8426,782,229,y
11,8426,794,241,y
11,8426,787,263,y
11,8426,779,249,y
11,8426,772,267,y
11,8426,768,261,y
11,8426,774,265,y
11,8426,794,239,y
11,8426,781,276,y
11,8426,790,248,y
11,8426,792,263,y
11,8426,791,255,y
11,8426,781,241,y
11,8426,776,242,y
11,8426,780,236,y
11,8426,772,266,y
11,8426,779,220,y
11,8426,775,265,y
11,8426,764,263,y
11,8426,797,258,y
11,8426,774,260,y
11,8426,785,248,y
11,8426,786,256,y
11,8426,776,233,y
11,8426,777,254,y
11,8426,792,266,y
11,8426,795,250,y
11,8426,783,240,y
11,9478,563,363,y
11,9478,560,356,y
11,9478,565,355,y
11,9478,566,372,y
11,9478,573,376,y
11,9478,569,349,y
11,9478,562,363,y
11,9478,560,369,y
11,9478,569,360,y
11,9478,573,349,y
11,9478,571,363,y
11,9478,571,372,y
11,9478,568,360,y
11,9478,576,370,y
11,9478,567,373,y
11,5170,393,55,y
11,5170,372,41,y
11,5170,364,78,y
11,5170,380,66,y
11,5170,366,63,y
11,5170,383,60,y
11,5170,382,60,y
11,5170,364,80,y
11,5170,372,42,y
11,5170,382,58,y
11,5170,368,76,y
11,5170,389,54,y
11,5170,371,70,y
11,5170,353,62,y
11,5170,367,68,y
11,5170,367,65,y
11,5170,357,64,y
11,5170,391,57,y
11,5170,369,41,y
11,5170,358,72,y
11,5170,373,60,y
11,5170,376,47,y
11,5170,354,62,y
11,5170,372,53,y
11,9472,607,391,y
11,9472,599,377,y
11,9472,587,388,y
11,9472,598,407,y
11,9472,568,406,y
11,9472,592,384,y
11,9472,597,403,y
11,9472,606,389,y
11,9472,591,375,y
11,9472,581,403,y
11,9472,600,380,y
11,9472,592,406,y
11,9472,582,373,y
11,9472,589,409,y
11,9472,574,401,y
11,9472,591,369,y
11,9472,599,375,y
11,9472,581,373,y
11,9472,599,400,y
11,9472,579,396,y
11,9472,605,395,y
11,9472,586,378,y
11,9472,587,389,y
11,9472,601,388,y
11,9472,612,380,y
11,9472,575,404,y
11,16072,544,366,y
11,16072,535,357,y
11,16072,546,366,y
11,16072,538,355,y
11,16072,539,364,y
11,16071,464,399,y
11,16071,458,379,y
11,16071,476,379,y
11,16071,483,385,y
11,16071,458,375,y
11,16071,483,384,y
11,16071,479,390,y
11,16071,470,396,y
11,16071,462,404,y
11,16071,474,377,y
11,16071,486,386,y
11,16071,478,381,y
11,16071,489,381,y
11,16071,465,375,y
11,16071,482,371,y
11,16071,460,397,y
11,16071,487,385,y
11,16071,481,372,y
11,16071,467,405,y
11,16071,468,376,y
11,16071,464,397,y
11,16071,459,383,y
11,16071,478,388,y
11,16071,486,385,y
11,16071,463,408,y
11,16071,460,388,y
11,16071,464,381,y
11,16071,458,398,y
11,16071,486,389,y
11,16071,470,378,y
11,16071,471,397,y
11,16071,472,378,y
11,16070,490,360,y
11,16070,491,365,y
11,16070,487,362,y
11,16070,492,346,y
11,16070,501,359,y
11,16070,482,353,y
11,16070,495,355,y
11,16070,500,349,y
11,16070,486,368,y
11,16070,485,353,y
11,16070,482,355,y
11,16070,494,350,y
11,16070,490,371,y
11,16070,482,364,y
11,16070,487,358,y
11,16070,483,361,y
11,16070,495,366,y
11,16070,484,367,y
11,16077,472,456,y
11,16077,472,465,y
11,16077,474,454,y
11,16077,468,460,y
11,16077,470,456,y
11,16077,478,459,y
11,16077,466,461,y
11,16077,482,474,y
11,16077,466,453,y
11,16077,477,450,y
11,16077,486,457,y
11,16077,469,455,y
11,16077,478,455,y
11,16077,482,460,y
11,16077,474,455,y
11,16077,470,460,y
11,16077,481,461,y
11,16077,481,463,y
11,16077,479,448,y
11,16077,466,449,y
11,16077,480,451,y
11,16077,477,453,y
11,16077,465,453,y
11,16077,483,452,y
11,16076,520,431,y
11,16076,500,423,y
11,16076,501,426,y
11,16076,483,442,y
11,16076,498,424,y
11,16076,505,436,y
11,16076,496,434,y
11,16076,498,432,y
11,16076,479,428,y
11,16076,500,440,y
11,16076,519,429,y
11,16076,513,438,y
11,16076,480,430,y
11,16076,507,421,y
11,16076,518,433,y
11,16076,493,442,y
11,16076,509,421,y
11,16076,518,437,y
11,16076,502,446,y
11,16076,512,431,y
11,16076,498,445,y
11,16076,514,437,y
11,16076,494,429,y
11,16076,479,444,y
11,16076,496,429,y
11,16076,501,424,y
11,16076,489,445,y
11,16076,491,443,y
11,16075,505,414,y
11,16075,529,411,y
11,16075,523,403,y
11,16075,501,418,y
11,16075,497,415,y
11,16075,508,420,y
11,16075,514,415,y
11,16075,515,414,y
11,16075,499,419,y
11,16075,505,393,y
11,16075,496,424,y
11,16075,506,396,y
11,16075,500,415,y
11,16075,497,419,y
11,16075,522,413,y
11,16075,504,407,y
11,16075,499,416,y
11,16075,529,399,y
11,16075,508,411,y
11,16075,511,411,y
11,16075,512,412,y
11,16075,508,396,y
11,16075,525,419,y
11,16075,497,418,y
11,16075,514,409,y
11,16075,522,403,y
11,16075,523,404,y
11,16075,500,419,y
11,16074,493,397,y
11,16074,486,402,y
11,16074,467,416,y
11,16074,483,411,y
11,16074,481,406,y
11,16074,482,411,y
11,16074,469,426,y
11,16074,470,401,y
11,16074,488,408,y
11,16074,472,423,y
11,16074,491,397,y
11,16074,484,409,y
11,16074,480,409,y
11,16074,489,421,y
11,16074,484,421,y
11,16074,478,408,y
11,16074,489,396,y
11,16074,492,419,y
11,16074,464,411,y
11,16074,465,408,y
11,16074,465,416,y
11,16074,472,401,y
11,9674,567,337,y
11,9674,581,335,y
11,9674,558,318,y
11,9674,553,336,y
11,9674,565,321,y
11,9674,574,336,y
11,9674,561,317,y
11,9674,586,331,y
11,9674,560,331,y
11,9674,577,335,y
11,9674,569,339,y
11,9674,562,334,y
11,9674,562,323,y
11,9674,559,324,y
11,9674,589,320,y
11,9674,567,324,y
11,9674,565,329,y
11,9674,577,317,y
11,9674,566,320,y
11,9674,571,325,y
11,9674,566,319,y
11,9674,575,321,y
11,9674,568,324,y
11,9674,576,310,y
11,9674,573,322,y
11,9674,568,316,y
11,9675,596,293,y
11,9675,601,299,y
11,9675,596,304,y
11,9675,604,290,y
11,9675,613,297,y
11,9675,604,317,y
11,9675,601,304,y
11,9675,594,290,y
11,9675,613,296,y
11,9675,590,300,y
11,9675,614,294,y
11,9675,605,314,y
11,9675,606,289,y
11,9675,612,300,y
11,9675,596,309,y
11,9675,604,288,y
11,9675,610,298,y
11,9675,610,296,y
11,9675,602,299,y
11,9675,618,294,y
11,9675,603,301,y
11,9675,602,285,y
11,9675,618,289,y
11,9675,608,296,y
11,9479,570,437,y
11,9479,578,434,y
11,9479,569,429,y
11,9479,563,432,y
11,9479,575,431,y
11,9479,571,425,y
11,9479,573,432,y
11,9479,569,433,y
11,9479,572,422,y
11,9479,564,435,y
11,9479,570,416,y
11,9779,706,317,y
11,9779,691,311,y
11,9779,696,317,y
11,9779,720,337,y
11,9779,717,318,y
11,9779,710,312,y
11,9779,697,308,y
11,9779,725,342,y
11,9779,722,344,y
11,9779,706,318,y
11,9779,701,329,y
11,9779,705,331,y
11,9779,703,317,y
11,9779,695,320,y
11,9779,723,327,y
11,9779,715,306,y
11,9779,713,331,y
11,9779,692,324,y
11,9779,730,338,y
11,9779,687,317,y
11,9779,698,313,y
11,9779,718,326,y
11,9779,707,310,y
11,9779,708,319,y
11,9779,694,316,y
11,9779,695,317,y
11,9779,707,337,y
11,9779,693,321,y
11,9779,705,320,y
11,9779,699,331,y
11,9779,728,342,y
11,9779,704,320,y
11,9779,720,342,y
11,9779,724,327,y
11,9779,730,341,y
11,9779,706,335,y
11,9779,695,316,y
11,9779,729,332,y
11,9779,709,311,y
11,9778,791,314,y
11,9778,795,319,y
11,9778,791,280,y
11,9778,796,313,y
11,9778,800,286,y
11,9778,801,313,y
