lk,cluster
7339,7339
1057,1057
14628,14628
3103,3103
3359,3359
8215,8215
8216,8216
3360,3360
1053,1053
1054,1054
1055,1055
9761,9761
8226,8226
1058,1058
1060,1060
5382,5382
5158,5158
5162,5162
8235,8235
8236,8236
8237,8237
9774,9774
9775,9775
5170,5170
9779,9779
9271,9271
9272,9272
16052,16052
9274,9274
9275,9275
9276,9276
9277,9277
16051,16051
7231,7231
7232,7232
6634,6634
7235,7235
5558,5558
3255,3255
3361,3361
3151,3151
3152,3152
3153,3153
3154,3154
3155,3155
3157,3157
3158,3158
14521,14521
13071,13071
9772,9772
8326,8326
1059,1059
13075,13075
5566,5566
5754,5754
8315,8315
8316,8316
8317,8317
5758,5758
5762,5762
8325,8325
5766,5766
9279,9279
5770,5770
8225,8225
16066,16066
5774,5774
8335,8335
8336,8336
8337,8337
16067,16067
9371,9371
9372,9372
9373,9373
9374,9374
9375,9375
9376,9376
9377,9377
5154,5154
6534,6534
7334,7334
7335,7335
7336,7336
3241,3241
7338,7338
9671,9671
7340,7340
14511,14511
8136,8136
3251,3251
3252,3252
3358,3358
3254,3254
9673,9673
3256,3256
3257,3257
14522,14522
14523,14523
14524,14524
16061,16061
16062,16062
16063,16063
16064,16064
16065,16065
5314,5314
5315,5315
16068,16068
16069,16069
16070,16070
16071,16071
16072,16072
16073,16073
16074,16074
16075,16075
16076,16076
16077,16077
9162,9162
6432,6432
6435,6435
5334,5334
6436,6436
6437,6437
8416,8416
8417,8417
1062,1062
15081,15081
8426,8426
15083,15083
15084,15084
15085,15085
5358,5358
15087,15087
15088,15088
6440,6440
15090,15090
15091,15091
8436,8436
8437,8437
9462,9462
9464,9464
5370,5370
5374,5374
9471,9471
9472,9472
9473,9473
9474,9474
9475,9475
9476,9476
9477,9477
9478,9478
9479,9479
5362,5362
6412,6412
9773,9773
13072,13072
13073,13073
13074,13074
3459,3459
13076,13076
5166,5166
3453,3453
3352,3352
3353,3353
5914,5914
5915,5915
12060,12060
12061,12061
12062,12062
6431,6431
12064,12064
6433,6433
6434,6434
12067,12067
12068,12068
12069,12069
12070,12070
12071,12071
12072,12072
12073,12073
9778,9778
8415,8415
9181,9181
10041,10041
10042,10042
10043,10043
10044,10044
10045,10045
10046,10046
7233,7233
5954,5954
6438,6438
5958,5958
9185,9185
3404,3404
9186,9186
5966,5966
9771,9771
1051,1051
5970,5970
5974,5974
9263,9263
5978,5978
12065,12065
9189,9189
6439,6439
9571,9571
9572,9572
9573,9573
9574,9574
9575,9575
9576,9576
9577,9577
6631,6631
9163,9163
16055,16055
9764,9764
9278,9278
6633,6633
14713,14713
3354,3354
3451,3451
3452,3452
15082,15082
3454,3454
3455,3455
3456,3456
3457,3457
3458,3458
6531,6531
6532,6532
6533,6533
3462,3462
6535,6535
14729,14729
14730,14730
5515,5515
15086,15086
3355,3355
7333,7333
14626,14626
15003,15003
3351,3351
15089,15089
8435,8435
14625,14625
8111,8111
5554,5554
8115,8115
8116,8116
8117,8117
8118,8118
8119,8119
5562,5562
8125,8125
8126,8126
8127,8127
8128,8128
5570,5570
5366,5366
8135,8135
9672,9672
9161,9161
9674,9674
9675,9675
3101,3101
9677,9677
9678,9678
9679,9679
8425,8425
7331,7331
3357,3357
9273,9273
9174,9174
9175,9175
9176,9176
9177,9177
9178,9178
5711,5711
7132,7132
7133,7133
7134,7134
9183,9183
9184,9184
7137,7137
7138,7138
9187,9187
7140,7140
7141,7141
9190,9190
7143,7143
6632,6632
14627,14627
1002,1002
6635,6635
6636,6636
7337,7337
5113,5113
5114,5114
