sim_ID,lk,row,col,use-it
75,8426,770,219,y
75,8426,774,229,y
75,8426,785,249,y
75,8426,783,239,y
75,8426,777,228,y
75,8426,780,232,y
75,8426,768,220,y
75,8426,783,246,y
75,8426,787,263,y
75,8426,797,272,y
75,8426,788,252,y
75,8426,774,234,y
75,8426,776,268,y
75,8426,769,262,y
75,8426,779,233,y
75,8426,783,254,y
75,8426,780,247,y
75,8426,786,244,y
75,8426,791,241,y
75,8426,779,256,y
75,8426,794,263,y
75,8426,774,265,y
75,8426,773,257,y
75,8426,765,261,y
75,8426,782,252,y
75,8426,776,225,y
75,8426,780,233,y
75,8426,795,277,y
75,8426,780,237,y
75,8426,773,218,y
75,8426,780,226,y
75,8426,770,263,y
75,8426,786,250,y
75,8426,775,251,y
75,8426,790,272,y
75,9478,570,352,y
75,9478,567,366,y
75,9478,568,356,y
75,9478,565,377,y
75,9478,561,357,y
75,9478,567,349,y
75,9478,568,347,y
75,9478,571,367,y
75,9478,568,361,y
75,9478,562,357,y
75,9478,570,371,y
75,9478,575,375,y
75,9478,563,366,y
75,9478,564,367,y
75,9478,561,374,y
75,5170,394,56,y
75,5170,390,59,y
75,5170,372,41,y
75,5170,355,57,y
75,5170,367,69,y
75,5170,384,50,y
75,5170,374,62,y
75,5170,394,52,y
75,5170,364,47,y
75,5170,355,59,y
75,5170,359,70,y
75,5170,356,63,y
75,5170,356,60,y
75,5170,388,56,y
75,5170,385,62,y
75,5170,364,78,y
75,5170,374,48,y
75,5170,368,81,y
75,5170,363,71,y
75,5170,389,61,y
75,5170,355,61,y
75,5170,371,55,y
75,5170,368,66,y
75,5170,364,72,y
75,16073,508,381,y
75,16073,508,387,y
75,16073,515,397,y
75,16073,511,373,y
75,16073,510,392,y
75,16073,517,396,y
75,16073,512,387,y
75,16073,513,383,y
75,16073,496,375,y
75,16073,509,377,y
75,16073,504,379,y
75,16073,512,378,y
75,16073,503,372,y
75,16073,506,393,y
75,16073,517,386,y
75,16072,546,366,y
75,16072,533,361,y
75,16072,530,356,y
75,16072,546,368,y
75,16072,530,367,y
75,16071,480,394,y
75,16071,470,398,y
75,16071,463,382,y
75,16071,486,388,y
75,16071,480,391,y
75,16071,463,378,y
75,16071,461,391,y
75,16071,487,389,y
75,16071,480,393,y
75,16071,459,396,y
75,16071,464,380,y
75,16071,460,401,y
75,16071,464,388,y
75,16071,487,375,y
75,16071,472,378,y
75,16071,464,381,y
75,16071,469,393,y
75,16071,458,394,y
75,16071,473,388,y
75,16071,465,406,y
75,16071,462,392,y
75,16071,485,375,y
75,16071,460,384,y
75,16071,463,391,y
75,16071,476,385,y
75,16071,460,402,y
75,16071,465,393,y
75,16071,469,386,y
75,16071,472,388,y
75,16071,462,403,y
75,16071,462,395,y
75,16071,461,376,y
75,16070,493,356,y
75,16070,494,370,y
75,16070,489,370,y
75,16070,490,359,y
75,16070,488,367,y
75,16070,495,355,y
75,16070,491,371,y
75,16070,494,355,y
75,16070,498,370,y
75,16070,498,348,y
75,16070,487,369,y
75,16070,483,365,y
75,16070,482,356,y
75,16070,482,351,y
75,16070,491,357,y
75,16070,489,358,y
75,16070,503,357,y
75,16070,506,357,y
75,16077,472,465,y
75,16077,482,446,y
75,16077,487,458,y
75,16077,465,450,y
75,16077,478,465,y
75,16077,474,451,y
75,16077,489,449,y
75,16077,480,460,y
75,16077,475,450,y
75,16077,482,449,y
75,16077,479,457,y
75,16077,476,461,y
75,16077,476,473,y
75,16077,477,463,y
75,16077,489,451,y
75,16077,478,455,y
75,16077,485,459,y
75,16077,468,456,y
75,16077,485,447,y
75,16077,467,455,y
75,16077,481,468,y
75,16077,469,462,y
75,16077,481,456,y
75,16077,480,450,y
75,16076,489,446,y
75,16076,502,430,y
75,16076,507,450,y
75,16076,504,440,y
75,16076,492,432,y
75,16076,508,439,y
75,16076,507,429,y
75,16076,499,445,y
75,16076,488,426,y
75,16076,507,436,y
75,16076,475,442,y
75,16076,483,425,y
75,16076,510,428,y
75,16076,500,426,y
75,16076,519,433,y
75,16076,479,444,y
75,16076,504,437,y
75,16076,490,447,y
75,16076,494,429,y
75,16076,511,422,y
75,16076,508,440,y
75,16076,502,433,y
75,16076,493,433,y
75,16076,495,433,y
75,16076,508,446,y
75,16076,488,439,y
75,16076,485,426,y
75,16076,500,430,y
75,16075,525,422,y
75,16075,504,403,y
75,16075,504,405,y
75,16075,510,405,y
75,16075,526,405,y
75,16075,528,414,y
75,16075,520,405,y
75,16075,506,399,y
75,16075,499,406,y
75,16075,500,406,y
75,16075,525,416,y
75,16075,528,398,y
75,16075,499,415,y
75,16075,500,414,y
75,16075,533,418,y
75,16075,507,404,y
75,16075,528,397,y
75,16075,528,404,y
75,16075,498,410,y
75,16075,498,421,y
75,16075,504,402,y
75,16075,530,423,y
75,16075,506,406,y
75,16075,502,403,y
75,16075,509,413,y
75,16075,530,395,y
75,16075,508,420,y
75,16075,516,409,y
75,16074,476,412,y
75,16074,473,425,y
75,16074,486,402,y
75,16074,462,409,y
75,16074,490,393,y
75,16074,474,417,y
75,16074,467,417,y
75,16074,467,403,y
75,16074,468,423,y
75,16074,466,422,y
75,16074,472,400,y
75,16074,468,406,y
75,16074,475,408,y
75,16074,481,411,y
75,16074,466,412,y
75,16074,476,415,y
75,16074,472,399,y
75,16074,489,421,y
75,16074,476,408,y
75,16074,471,427,y
75,16074,469,408,y
75,16074,469,404,y
75,9674,568,324,y
75,9674,562,332,y
75,9674,573,312,y
75,9674,557,328,y
75,9674,559,330,y
75,9674,586,329,y
75,9674,582,333,y
75,9674,567,334,y
75,9674,564,320,y
75,9674,571,313,y
75,9674,589,319,y
75,9674,573,309,y
75,9674,564,341,y
75,9674,571,339,y
75,9674,560,336,y
75,9674,564,314,y
75,9674,560,314,y
75,9674,577,333,y
75,9674,564,339,y
75,9674,567,344,y
75,9674,575,334,y
75,9674,557,338,y
75,9674,584,330,y
75,9674,572,339,y
75,9674,579,323,y
75,9674,571,328,y
75,9675,600,302,y
75,9675,606,307,y
75,9675,592,307,y
75,9675,597,299,y
75,9675,607,291,y
75,9675,595,288,y
75,9675,618,289,y
75,9675,617,289,y
75,9675,601,306,y
75,9675,620,291,y
75,9675,613,300,y
75,9675,590,299,y
75,9675,602,302,y
75,9675,593,307,y
75,9675,596,292,y
75,9675,603,317,y
75,9675,614,303,y
75,9675,614,302,y
75,9675,598,304,y
75,9675,614,300,y
75,9675,592,304,y
75,9675,608,292,y
75,9675,615,296,y
75,9675,603,308,y
75,9677,579,255,y
75,9677,594,243,y
75,9677,574,274,y
75,9677,572,270,y
75,9677,587,245,y
75,9677,579,280,y
75,9677,585,273,y
75,9677,594,252,y
75,9677,574,275,y
75,9677,579,281,y
75,9677,578,256,y
75,9677,563,244,y
75,9677,594,255,y
75,9677,574,284,y
75,9677,567,247,y
75,9677,565,267,y
75,9677,571,278,y
75,9677,571,281,y
75,9677,565,265,y
75,9677,583,258,y
75,9677,582,275,y
75,9677,592,250,y
75,9677,565,264,y
75,9677,581,265,y
75,9779,702,326,y
75,9779,720,341,y
75,9779,693,307,y
75,9779,707,330,y
75,9779,707,309,y
75,9779,725,321,y
75,9779,710,311,y
75,9779,733,338,y
75,9779,694,313,y
75,9779,712,342,y
75,9779,699,320,y
75,9779,691,306,y
75,9779,695,316,y
75,9779,709,324,y
75,9779,716,343,y
75,9779,719,344,y
75,9779,709,311,y
75,9779,710,309,y
75,9779,725,344,y
75,9779,701,312,y
75,9779,717,344,y
75,9779,693,308,y
75,9779,697,311,y
75,9779,700,321,y
75,9779,732,339,y
75,9779,704,316,y
75,9779,713,323,y
75,9779,720,321,y
75,9779,733,341,y
75,9779,725,326,y
75,9779,707,318,y
75,9779,723,323,y
75,9779,699,306,y
75,9779,690,307,y
75,9779,729,336,y
75,9779,696,316,y
75,9779,692,312,y
75,9779,696,321,y
75,9779,705,331,y
75,5315,448,68,y
75,5315,463,82,y
75,5315,452,84,y
75,5315,460,75,y
75,5315,445,74,y
75,9672,550,298,y
75,9672,555,278,y
75,9672,545,278,y
75,9672,547,303,y
75,9672,549,291,y
75,9672,558,277,y
75,9672,546,304,y
75,9672,557,302,y
75,9672,547,266,y
