name,position in array,low,high,stepsize,optguess,minbound,maxbound,derived params
MaxAssimilationRate,FALSE,25,70,10,65,25,70,
DroughtStressThreshold,0,0.25,1,0.25,0.5,0.25,1,
DroughtStressThreshold,1,,,,,,,v[1]
DroughtStressThreshold,2,,,,,,,v[1]
DroughtStressThreshold,3,,,,,,,v[1]
DroughtStressThreshold,4,,,,,,,v[1]
DroughtStressThreshold,5,,,,,,,v[1]
